year,begin_lat_mean,begin_lat_std,begin_lon_mean,begin_lon_std
1955,37.75679966749792,3.9914819847864895,-94.60674979218619,5.92369255087939
1956,38.3898135359116,3.719463557643449,-93.55021408839781,6.292359636510371
1957,37.43807991120977,3.973568764541115,-94.00323529411766,6.352472035762934
1958,38.63759726603575,4.011942451001144,-95.12217139852788,7.573768066209752
1959,38.16745227123107,3.9674425543160923,-94.71506254114549,5.603388406999469
1960,38.36809141445336,3.8699188707005048,-94.55132180358245,6.009817543354629
1961,37.55349436392915,3.8778363412365726,-93.55268384326355,6.369982277129757
1962,38.30603103103103,4.226615102641457,-95.30631131131132,6.576181833590434
1963,38.11457440293937,4.098494637053602,-93.22781996325783,7.028460265265077
1964,38.69903746097815,4.025046410233099,-93.93349635796045,5.700055869041087
1965,38.91257094451503,4.100460127878932,-93.7898898771707,6.563901878397006
1966,38.4827336683417,4.177925393985574,-93.51664824120603,6.719196303591563
1967,38.26564956079519,3.9323059335256954,-93.34946370781323,6.161758881619588
1968,38.12098244303324,4.220028031956519,-92.81579379902877,6.550717165355615
1969,38.318869227449284,4.128250728197122,-93.03138972809668,7.106599584422506
1970,38.41521260440395,3.8642447438716783,-90.98399772209568,7.151182873106596
1971,37.87006403415155,4.23498167858637,-92.75974030594095,6.404446612268957
1972,37.580439828955406,4.276933175289783,-94.01003054367747,6.412203605034399
1973,38.04930819316332,4.153798436130888,-92.13599023331525,6.284211240781522
1974,38.62846769627824,3.940842557372902,-91.15544203079308,6.138812572969997
1975,38.20160180768265,4.149460748746879,-91.3566683404469,6.773071593959084
1976,38.0420443430062,4.489456405114956,-91.56623084447342,7.061546886625929
1977,38.875940626008386,4.372991020180668,-93.27504033559212,6.695746640196959
1978,38.790413723511605,4.658799290747248,-94.1894752774975,6.336031801082709
1979,38.574499855030446,4.436826539930552,-94.616326471441,6.207065302872844
1980,39.62118482450801,4.160229541478347,-91.87453844593223,6.623850472663574
1981,38.72680201624194,4.31440348009812,-93.91898907868945,6.062171270953014
1982,38.35512626262626,4.169838343504692,-93.64554545454546,6.127870620253276
1983,38.49723259259259,4.508512951753412,-91.51734222222223,7.254867672932821
1984,37.47806918744972,4.2116460607554025,-91.79459694288013,6.081438616757981
1985,37.747781073865326,4.252203948815352,-91.48892910115693,6.872801631428207
1986,37.908633064516124,4.0358213054003045,-92.51932661290321,7.114424329697644
1987,38.05761254019293,4.163729586075767,-92.28001446945336,7.083532142140031
1988,37.537537615272605,4.292097501028379,-89.90201747290082,7.756988576153019
1989,36.76812777587975,3.8873398365242244,-91.57395854686256,7.609301502916713
1990,37.083850717290474,3.9493680093242327,-90.62657210656887,7.542392921898236
1991,37.77105253140464,4.197488967778806,-92.18896935668062,7.305476988956916
1992,37.079671145686,3.876647970239433,-92.87892945544556,6.9801900331271955
1993,37.55569696969697,4.121864559381766,-94.53181818181818,6.917555331195749
1994,38.14214601769911,4.821346845702918,-94.85300884955751,5.551168572760433
1995,36.91545043147208,4.0040367381224495,-94.09874568020305,6.08861648619142
1996,37.64339863423413,3.8561753792456472,-92.70289650625907,7.262813485128825
1997,37.73775580021148,4.226456158997255,-92.07579834546246,7.244097809787657
1998,38.12238960590495,3.9886266073948793,-90.23795571286745,7.020965262352971
1999,37.988866063644295,4.2792242398558,-92.53311955100261,6.966491783993854
2000,38.2536565711477,4.0440978219617785,-91.31831163037603,7.232378997484645
2001,38.813912079567686,4.266871969436707,-93.57517391596012,6.503000767336765
2002,38.677036521915404,4.238293429361414,-91.60340553403306,7.458263740471994
2003,37.8556323609752,3.8464039924614513,-91.31127942177595,6.6486751387575405
2004,38.58784030839694,3.9750667195230425,-92.9071108780807,6.875754693016869
2005,38.72521501481535,4.3429664818533915,-92.07668089145045,7.426873620794975
2006,38.29705612740493,3.797556327279167,-89.72844424764291,7.138139858682527
2007,38.79523978634527,4.2055009966839485,-91.08173997123879,8.256288219136763
2008,38.27504561758019,3.8230932517939933,-89.8529276105077,7.69230865515491
2009,37.437336313191594,3.6694193617736346,-90.61018682130529,7.716391303016046
2010,38.95451523075986,3.899298377735439,-90.15091071602532,8.183155807963105
2011,38.25401776798826,3.7825095225774525,-88.27503280243984,7.5622375326058116
2012,38.111846483986,3.8712245612323684,-88.04949308040734,7.965475635660424
2013,38.855626239754095,3.9421054020721136,-90.09115139344263,8.684598889239297
2014,38.73354185797422,3.8908965479463875,-89.94589825056232,8.735925125093312
2015,38.115526417187816,3.951353806959361,-90.48722513280882,8.108233547538976
